"","long","lat","timestamps","timelong","sessions","days","elapsed","diff","diffsum","nextlong","nextlat","longabs"
"125",-113.99683584,46.87602861,"2020-08-19T19:45:09.000Z",1597844709,2,2,49509,0.634000062942505,1033.46900010109,-113.99722287,46.87531177,113.99683584
"126",-113.99722287,46.87531177,"2020-08-19T19:45:50.000Z",1597844750,2,2,49550,41,1074.46900010109,-113.9972342,46.8753223,113.99722287
"127",-113.9972342,46.8753223,"2020-08-19T19:46:12.559Z",1597844772.559,2,2,49572.5590000153,22.5590000152588,1097.02800011635,-113.99745705,46.87514272,113.9972342
"128",-113.99745705,46.87514272,"2020-08-19T19:46:14.000Z",1597844774,2,2,49574,1.44099998474121,1098.46900010109,-113.9972623,46.8752971,113.99745705
"129",-113.9972623,46.8752971,"2020-08-19T19:46:30.381Z",1597844790.381,2,2,49590.381000042,16.3810000419617,1114.85000014305,-113.9983682,46.8737451,113.9972623
"130",-113.9983682,46.8737451,"2020-08-19T19:47:16.526Z",1597844836.526,2,2,49636.5260000229,46.1449999809265,1160.99500012398,-113.99791354,46.8743217,113.9983682
"131",-113.99791354,46.8743217,"2020-08-19T19:47:17.000Z",1597844837,2,2,49637,0.473999977111816,1161.46900010109,-113.9984244,46.8737962,113.99791354
"132",-113.9984244,46.8737962,"2020-08-19T19:47:33.291Z",1597844853.291,2,2,49653.2909998894,16.2909998893738,1177.75999999046,-113.9983909,46.8736361,113.9984244
"133",-113.9983909,46.8736361,"2020-08-19T19:47:56.103Z",1597844876.103,2,2,49676.1029999256,22.8120000362396,1200.5720000267,-113.99830326,46.87326541,113.9983909
"134",-113.99830326,46.87326541,"2020-08-19T19:48:41.000Z",1597844921,2,2,49721,44.8970000743866,1245.46900010109,-113.99829701,46.8732822,113.99830326
"135",-113.99829701,46.8732822,"2020-08-19T19:49:03.000Z",1597844943,2,2,49743,22,1267.46900010109,-113.997285,46.8732645,113.99829701
"136",-113.997285,46.8732645,"2020-08-19T19:49:23.771Z",1597844963.771,2,2,49763.7709999084,20.7709999084473,1288.24000000954,-113.99825096,46.87323564,113.997285
"137",-113.99825096,46.87323564,"2020-08-19T19:49:25.000Z",1597844965,2,2,49765,1.22900009155273,1289.46900010109,-113.99728068,46.87300884,113.99825096
"138",-113.99728068,46.87300884,"2020-08-19T19:50:06.000Z",1597845006,2,2,49806,41,1330.46900010109,-113.99670126,46.87278508,113.99728068
"139",-113.99670126,46.87278508,"2020-08-19T19:50:27.000Z",1597845027,2,2,49827,21,1351.46900010109,-113.9960913,46.8725971,113.99670126
"140",-113.9960913,46.8725971,"2020-08-19T19:50:50.514Z",1597845050.514,2,2,49850.513999939,23.5139999389648,1374.98300004005,-113.99633988,46.87268537,113.9960913
"141",-113.99633988,46.87268537,"2020-08-19T19:50:51.000Z",1597845051,2,2,49851,0.486000061035156,1375.46900010109,-113.9960913,46.8725971,113.99633988
"142",-113.9960913,46.8725971,"2020-08-19T19:51:06.384Z",1597845066.384,2,2,49866.3840000629,15.3840000629425,1390.85300016403,-113.9952396,46.8724029,113.9960913
"143",-113.9952396,46.8724029,"2020-08-19T19:51:27.305Z",1597845087.305,2,2,49887.3050000668,20.9210000038147,1411.77400016785,-113.9943937,46.8721469,113.9952396
"144",-113.9943937,46.8721469,"2020-08-19T19:51:50.141Z",1597845110.141,2,2,49910.1410000324,22.8359999656677,1434.61000013351,-113.9943937,46.8721469,113.9943937
"145",-113.9943937,46.8721469,"2020-08-19T19:52:09.380Z",1597845129.38,2,2,49929.3800001144,19.239000082016,1453.84900021553,-113.9940875,46.8719935,113.9943937
"146",-113.9940875,46.8719935,"2020-08-19T19:52:30.403Z",1597845150.403,2,2,49950.4030001163,21.0230000019073,1474.87200021744,-113.9929077,46.8717579,113.9940875
"147",-113.9929077,46.8717579,"2020-08-19T19:53:14.753Z",1597845194.753,2,2,49994.753000021,44.3499999046326,1519.22200012207,-113.99308264,46.87175865,113.9929077
"148",-113.99308264,46.87175865,"2020-08-19T19:53:16.000Z",1597845196,2,2,49996,1.24699997901917,1520.46900010109,-113.9928664,46.8718121,113.99308264
"149",-113.9928664,46.8718121,"2020-08-19T19:53:33.380Z",1597845213.38,2,2,50013.3800001144,17.3800001144409,1537.84900021553,-113.9922776,46.8715362,113.9928664
"150",-113.9922776,46.8715362,"2020-08-19T19:53:54.157Z",1597845234.157,2,2,50034.1570000648,20.7769999504089,1558.62600016594,-113.99157112,46.87115913,113.9922776
"151",-113.99157112,46.87115913,"2020-08-19T19:54:40.000Z",1597845280,2,2,50080,45.8429999351501,1604.46900010109,-113.9909697,46.8711394,113.99157112
"152",-113.9909697,46.8711394,"2020-08-19T19:55:00.000Z",1597845300,2,2,50100,20,1624.46900010109,-113.9904343,46.8710087,113.9909697
"153",-113.9904343,46.8710087,"2020-08-19T19:55:19.734Z",1597845319.734,2,2,50119.7339999676,19.7339999675751,1644.20300006866,-113.99051964,46.87087347,113.9904343
